time,CO2
1983.333,345.650
1983.417,345.275
1983.500,343.820
1983.583,342.150
1983.667,339.875
1983.750,340.020
1983.833,341.150
1983.917,342.980
1984.000,343.675
1984.083,344.425
1984.167,345.175
1984.250,347.400
1984.333,347.350
1984.417,346.660
1984.500,345.200
1984.583,343.300
1984.667,341.120
1984.750,341.475
1984.833,342.850
1984.917,344.140
1985.000,344.925
1985.083,345.875
1985.167,347.440
1985.250,348.325
1985.333,348.825
1985.417,348.180
1985.500,346.450
1985.583,344.300
1985.667,343.000
1985.750,342.800
1985.833,344.220
1985.917,345.575
1986.000,346.250
1986.083,346.825
1986.167,347.740
1986.250,349.525
1986.333,350.080
1986.417,349.375
1986.500,347.825
1986.583,345.820
1986.667,344.800
1986.750,344.100
1986.833,345.620
1986.917,346.875
1987.000,348.000
1987.083,348.500
1987.167,349.475
1987.250,350.850
1987.333,351.740
1987.417,351.150
1987.500,349.450
1987.583,348.080
1987.667,346.400
1987.750,346.440
1987.833,347.925
1987.917,348.925
1988.000,350.400
1988.083,351.775
1988.167,352.125
1988.250,353.580
1988.333,354.175
1988.417,353.750
1988.500,352.220
1988.583,350.300
1988.667,348.750
1988.750,348.960
1988.833,350.000
1988.917,351.360
1989.000,352.775
1989.083,353.000
1989.167,353.600
1989.250,355.360
1989.333,355.600
1989.417,355.125
1989.500,353.860
1989.583,351.575
1989.667,349.860
1989.750,350.050
1989.833,351.200
1989.917,352.480
1990.000,353.650
1990.083,354.650
1990.167,355.480
1990.250,356.175
1990.333,357.075
1990.417,356.080
1990.500,354.675
1990.583,352.900
1990.667,350.940
1990.750,351.225
1990.833,352.700
1990.917,354.140
1991.000,354.675
1991.083,355.650
1991.167,357.200
1991.250,358.600
1991.333,359.250
1991.417,358.180
1991.500,356.050
1991.583,353.860
1991.667,352.125
1991.750,352.250
1991.833,353.740
1991.917,355.025
1992.000,355.900
1992.083,356.680
1992.167,357.900
1992.250,359.075
1992.333,359.540
1992.417,359.125
1992.500,357.000
1992.583,354.860
1992.667,353.025
1992.750,353.420
1992.833,354.200
1992.917,355.350
1993.000,356.680
1993.083,357.175
1993.167,358.425
1993.250,359.325
1993.333,360.180
1993.417,359.500
1993.500,357.420
1993.583,355.325
1993.667,353.775
1993.750,354.060
1993.833,355.350
1993.917,356.775
1994.000,358.320
1994.083,358.900
1994.167,359.925
1994.250,361.220
1994.333,361.650
1994.417,360.900
1994.500,359.460
1994.583,357.375
1994.667,355.925
1994.750,356.020
1994.833,357.575
1994.917,359.060
1995.000,359.975
1995.083,360.925
1995.167,361.575
1995.250,363.360
1995.333,363.700
1995.417,363.250
1995.500,361.800
1995.583,359.375
1995.667,358.000
1995.750,357.850
1995.833,359.475
1995.917,360.700
1996.000,362.025
1996.083,363.175
1996.167,364.060
1996.250,364.700
1996.333,365.325
1996.417,364.880
1996.500,363.475
1996.583,361.320
1996.667,359.400
1996.750,359.625
1996.833,360.740
1996.917,362.375
1997.000,363.125
1997.083,363.875
1997.167,364.560
1997.250,366.325
1997.333,366.680
1997.417,365.475
1997.500,364.375
1997.583,362.460
1997.667,360.150
1997.750,360.750
1997.833,362.380
1997.917,364.250
1998.000,365.340
1998.083,366.200
1998.167,367.375
1998.250,368.525
1998.333,369.140
1998.417,368.750
1998.500,367.600
1998.583,365.720
1998.667,363.925
1998.750,364.320
1998.833,365.550
1998.917,366.925
1999.000,368.120
1999.083,368.850
1999.167,369.600
1999.250,370.975
1999.333,370.840
1999.417,370.250
1999.500,369.000
1999.583,366.700
1999.667,364.675
1999.750,365.140
1999.833,366.650
1999.917,367.900
2000.000,369.020
2000.083,369.375
2000.167,370.400
2000.250,371.540
2000.333,371.650
2000.417,371.625
2000.500,369.940
2000.583,367.950
2000.667,366.540
2000.750,366.725
2000.833,368.125
2000.917,369.440
2001.000,370.175
2001.083,371.325
2001.167,372.060
2001.250,372.775
2001.333,373.800
2001.417,373.060
2001.500,371.300
2001.583,369.425
2001.667,367.880
2001.750,368.050
2001.833,369.375
2001.917,371.020
